mechanism,altitude,LF,FS height,distance,INR20 point estimate,INR20 CI lower,INR20 CI upper,margin point estimate,margin CI lower,margin CI upper,classification
power back-off,525,20,40,60,-12.075601,-12.227130,-11.912467,6.075601,5.912467,6.227130,supported compliant
power back-off,525,20,40,70,-12.285639,-12.418294,-12.133588,6.285639,6.133588,6.418294,supported compliant
power back-off,525,20,40,80,-12.438277,-12.595140,-12.276966,6.438277,6.276966,6.595140,supported compliant
power back-off,525,20,40,90,-12.632721,-12.779784,-12.440839,6.632721,6.440839,6.779784,supported compliant
power back-off,525,20,40,100,-12.759511,-12.970686,-12.600373,6.759511,6.600373,6.970686,supported compliant
power back-off,525,50,40,0,1.573477,1.257596,1.859196,-7.573477,-7.859196,-7.257596,supported non-compliant
power back-off,525,50,40,10,-2.671978,-2.867183,-2.414598,-3.328022,-3.585402,-3.132817,supported non-compliant
power back-off,525,50,40,20,-4.327714,-4.467629,-4.203527,-1.672286,-1.796473,-1.532371,supported non-compliant
power back-off,525,50,40,30,-5.410329,-5.619671,-5.228007,-0.589671,-0.771993,-0.380329,supported non-compliant
power back-off,525,50,40,40,-5.882031,-6.067323,-5.699178,-0.117969,-0.300822,0.067323,borderline
power back-off,525,50,40,50,-6.063255,-6.294424,-5.901715,0.063255,-0.098285,0.294424,borderline
power back-off,525,50,40,60,-6.251982,-6.431245,-6.026469,0.251982,0.026469,0.431245,supported compliant
power back-off,525,50,40,70,-6.325626,-6.537509,-6.099676,0.325626,0.099676,0.537509,supported compliant
power back-off,525,50,40,80,-6.385000,-6.624365,-6.180646,0.385000,0.180646,0.624365,supported compliant
power back-off,525,50,40,90,-6.492526,-6.688107,-6.278184,0.492526,0.278184,0.688107,supported compliant
power back-off,525,50,40,100,-6.569459,-6.764313,-6.336908,0.569459,0.336908,0.764313,supported compliant
