area,system,altitude_km,fs_height_m,load_factor_pct,mechanism,distance_type,distance_km,azimuth_deg,samples,bootstrap_resamples,bootstrap_seed,inr_20_pct_db,inr_20_pct_ci95_low_db,inr_20_pct_ci95_high_db,inr_20_pct_ci95_half_width_db,protection_margin_db,protection_margin_ci95_low_db,protection_margin_ci95_high_db,classification
SouthAmerica,3,340,40,20,exclusion zone,EZ,80,90,4000,10000,20260727,-5.997361,-6.033650,-5.961968,0.035841,-0.002639,-0.038032,0.033650,borderline
SouthAmerica,3,340,40,20,exclusion zone,EZ,90,90,4000,10000,20260727,-6.195784,-6.237610,-6.159496,0.039057,0.195784,0.159496,0.237610,supported compliant
SouthAmerica,3,340,40,20,exclusion zone,EZ,100,90,4000,10000,20260727,-6.608068,-6.654236,-6.563037,0.045599,0.608068,0.563037,0.654236,supported compliant
SouthAmerica,3,340,40,50,exclusion zone,EZ,0,90,4000,10000,20260727,10.063951,10.032129,10.110249,0.039060,-16.063951,-16.110249,-16.032129,supported non-compliant
SouthAmerica,3,340,40,50,exclusion zone,EZ,10,90,4000,10000,20260727,9.603564,9.530390,9.692179,0.080894,-15.603564,-15.692179,-15.530390,supported non-compliant
SouthAmerica,3,340,40,50,exclusion zone,EZ,20,90,4000,10000,20260727,6.714288,6.588371,6.800352,0.105990,-12.714288,-12.800352,-12.588371,supported non-compliant
SouthAmerica,3,340,40,50,exclusion zone,EZ,30,90,4000,10000,20260727,3.038066,2.944806,3.139386,0.097290,-9.038066,-9.139386,-8.944806,supported non-compliant
SouthAmerica,3,340,40,50,exclusion zone,EZ,40,90,4000,10000,20260727,-0.585221,-0.634776,-0.541120,0.046828,-5.414779,-5.458880,-5.365224,supported non-compliant
SouthAmerica,3,340,40,50,exclusion zone,EZ,50,90,4000,10000,20260727,-1.114194,-1.139094,-1.089760,0.024667,-4.885806,-4.910240,-4.860906,supported non-compliant
SouthAmerica,3,340,40,50,exclusion zone,EZ,60,90,4000,10000,20260727,-1.444458,-1.472945,-1.416320,0.028312,-4.555542,-4.583680,-4.527055,supported non-compliant
SouthAmerica,3,340,40,50,exclusion zone,EZ,70,90,4000,10000,20260727,-1.958823,-1.983629,-1.924059,0.029785,-4.041177,-4.075941,-4.016371,supported non-compliant
SouthAmerica,3,340,40,50,exclusion zone,EZ,80,90,4000,10000,20260727,-2.229850,-2.251203,-2.206103,0.022550,-3.770150,-3.793897,-3.748797,supported non-compliant
SouthAmerica,3,340,40,50,exclusion zone,EZ,90,90,4000,10000,20260727,-2.414238,-2.439307,-2.386812,0.026248,-3.585762,-3.613188,-3.560693,supported non-compliant
SouthAmerica,3,340,40,50,exclusion zone,EZ,100,90,4000,10000,20260727,-2.755481,-2.780326,-2.728172,0.026077,-3.244519,-3.271828,-3.219674,supported non-compliant
SouthAmerica,3,525,20,20,exclusion zone,EZ,0,90,4000,10000,20260727,3.130819,2.794055,3.433773,0.319859,-9.130819,-9.433773,-8.794055,supported non-compliant
SouthAmerica,3,525,20,20,exclusion zone,EZ,10,90,4000,10000,20260727,2.587656,2.249535,2.961267,0.355866,-8.587656,-8.961267,-8.249535,supported non-compliant
SouthAmerica,3,525,20,20,exclusion zone,EZ,20,90,4000,10000,20260727,1.109246,0.840337,1.420368,0.290015,-7.109246,-7.420368,-6.840337,supported non-compliant
SouthAmerica,3,525,20,20,exclusion zone,EZ,30,90,4000,10000,20260727,-0.656055,-0.993248,-0.407201,0.293024,-5.343945,-5.592799,-5.006752,supported non-compliant
SouthAmerica,3,525,20,20,exclusion zone,EZ,40,90,4000,10000,20260727,-2.905875,-3.171997,-2.588477,0.291760,-3.094125,-3.411523,-2.828003,supported non-compliant
SouthAmerica,3,525,20,20,exclusion zone,EZ,50,90,4000,10000,20260727,-6.720763,-6.996468,-6.367120,0.314674,0.720763,0.367120,0.996468,supported compliant
SouthAmerica,3,525,20,20,exclusion zone,EZ,60,90,4000,10000,20260727,-8.479363,-8.540359,-8.392931,0.073714,2.479363,2.392931,2.540359,supported compliant
SouthAmerica,3,525,20,20,exclusion zone,EZ,70,90,4000,10000,20260727,-8.902334,-8.965527,-8.845816,0.059855,2.902334,2.845816,2.965527,supported compliant
SouthAmerica,3,525,20,20,exclusion zone,EZ,80,90,4000,10000,20260727,-9.104035,-9.159194,-9.048615,0.055290,3.104035,3.048615,3.159194,supported compliant
SouthAmerica,3,525,20,20,exclusion zone,EZ,90,90,4000,10000,20260727,-9.453496,-9.506611,-9.405832,0.050389,3.453496,3.405832,3.506611,supported compliant
SouthAmerica,3,525,20,20,exclusion zone,EZ,100,90,4000,10000,20260727,-9.881052,-9.930870,-9.833674,0.048598,3.881052,3.833674,3.930870,supported compliant
SouthAmerica,3,525,20,50,exclusion zone,EZ,0,90,4000,10000,20260727,6.356792,6.311467,6.404134,0.046334,-12.356792,-12.404134,-12.311467,supported non-compliant
SouthAmerica,3,525,20,50,exclusion zone,EZ,10,90,4000,10000,20260727,6.191631,6.128445,6.245927,0.058741,-12.191631,-12.245927,-12.128445,supported non-compliant
SouthAmerica,3,525,20,50,exclusion zone,EZ,20,90,4000,10000,20260727,5.329281,5.219021,5.440075,0.110527,-11.329281,-11.440075,-11.219021,supported non-compliant
SouthAmerica,3,525,20,50,exclusion zone,EZ,30,90,4000,10000,20260727,2.971893,2.872222,3.081640,0.104709,-8.971893,-9.081640,-8.872222,supported non-compliant
SouthAmerica,3,525,20,50,exclusion zone,EZ,40,90,4000,10000,20260727,0.740603,0.650887,0.841290,0.095202,-6.740603,-6.841290,-6.650887,supported non-compliant
SouthAmerica,3,525,20,50,exclusion zone,EZ,50,90,4000,10000,20260727,-2.227403,-2.348218,-2.119491,0.114364,-3.772597,-3.880509,-3.651782,supported non-compliant
SouthAmerica,3,525,20,50,exclusion zone,EZ,60,90,4000,10000,20260727,-4.732184,-4.776994,-4.676311,0.050341,-1.267816,-1.323689,-1.223006,supported non-compliant
SouthAmerica,3,525,20,50,exclusion zone,EZ,70,90,4000,10000,20260727,-5.205350,-5.243716,-5.171667,0.036024,-0.794650,-0.828333,-0.756284,supported non-compliant
SouthAmerica,3,525,20,50,exclusion zone,EZ,80,90,4000,10000,20260727,-5.384421,-5.419016,-5.356590,0.031213,-0.615579,-0.643410,-0.580984,supported non-compliant
SouthAmerica,3,525,20,50,exclusion zone,EZ,90,90,4000,10000,20260727,-5.742164,-5.773404,-5.712260,0.030572,-0.257836,-0.287740,-0.226596,supported non-compliant
SouthAmerica,3,525,20,50,exclusion zone,EZ,100,90,4000,10000,20260727,-6.144842,-6.176467,-6.120990,0.027739,0.144842,0.120990,0.176467,supported compliant
