scenario_id,load_factor,pbo_db,affected_fraction,metric,group,total_records,valid_records,omitted_records,mean,median,p5,p95
LF20_PBO00_F00,0.2,0.0,0.15,snr_affected_db,affected,41298,41298,0,9.317169760665736,8.407024167705046,5.164776254851134,15.768012401949518
LF20_PBO10_F15,0.2,10.0,0.15,snr_affected_db,affected,41298,41298,0,-0.6828302393342632,-1.592975832294954,-4.835223745148866,5.768012401949518
LF20_PBO20_F15,0.2,20.0,0.15,snr_affected_db,affected,41298,41298,0,-10.682830239334264,-11.592975832294954,-14.835223745148866,-4.231987598050482
LF50_PBO00_F00,0.5,0.0,0.15,snr_affected_db,affected,103384,103384,0,9.303533707914536,8.402353369266791,5.170898707958382,15.725403040361916
LF50_PBO10_F15,0.5,10.0,0.15,snr_affected_db,affected,103384,103384,0,-0.6964662920854644,-1.597646630733209,-4.829101292041618,5.725403040361915
LF50_PBO20_F15,0.5,20.0,0.15,snr_affected_db,affected,103384,103384,0,-10.696466292085464,-11.597646630733209,-14.829101292041617,-4.274596959638085
LF20_PBO00_F00,0.2,0.0,0.1,spectral_efficiency_proxy_all_bpshz,all,275169,275169,0,2.4132939606667256,2.177188270040038,1.4879274475925661,3.9754257960366166
LF20_PBO10_F10,0.2,10.0,0.1,spectral_efficiency_proxy_all_bpshz,all,275169,275169,0,2.2566571419644967,2.0779069214866475,0.5020177343566691,3.9517407519939645
LF20_PBO20_F10,0.2,20.0,0.1,spectral_efficiency_proxy_all_bpshz,all,275169,275169,0,2.195745270652871,2.079008378309659,0.0,3.9540524430863195
LF50_PBO00_F00,0.5,0.0,0.1,spectral_efficiency_proxy_all_bpshz,all,689089,689089,0,2.1602437672655603,1.9350828367553663,1.2449145386113107,3.686318002346392
LF50_PBO10_F10,0.5,10.0,0.1,spectral_efficiency_proxy_all_bpshz,all,689089,689089,0,2.0331885895989927,1.85637425698825,0.40159154067796504,3.680510125488169
LF50_PBO20_F10,0.5,20.0,0.1,spectral_efficiency_proxy_all_bpshz,all,689089,689089,0,1.9832028307961498,1.859540538839651,0.0,3.6848523189463807
