scenario_id,load_factor,pbo_db,affected_fraction,group,baseline_mask_paired,n_snapshots,n_users,realized_affected_fraction_mean,realized_affected_fraction_std,sinr_mean_db,sinr_p5_db,sinr_median_db,spectral_efficiency_mean_bpshz,spectral_efficiency_p5_bpshz,spectral_efficiency_median_bpshz,outage_probability
LF20_PBO10_F10,0.2,10.0,0.1,affected,False,1000,27564,0.10017047442638648,0.0010481928325394132,-1.598036582425257,-5.735395084248746,-2.452001872826628,0.6961611813479053,0.2731047903634827,0.5195752202865265,0.00391815411406182
LF20_PBO10_F10,0.2,10.0,0.1,all,False,1000,275169,0.10017047442638648,0.0010481928325394132,7.4058244555817145,-2.6367575809378727,7.034531235495351,2.2566571419644967,0.5020177343566691,2.0779069214866475,0.0004942417205426483
LF20_PBO10_F10,0.2,10.0,0.1,unaffected,False,1000,247605,0.10017047442638648,0.0010481928325394132,8.408156499165749,4.283170956269757,7.5509030026220785,2.4303754055635194,1.5041174567803133,2.193555318799157,0.00011308333838169666
LF20_PBO15_F10,0.2,15.0,0.1,affected,False,1000,27564,0.10017047442638648,0.0010481928325394132,-6.591319848576943,-10.728453559927255,-7.444682358318801,0.2724871910934555,0.0,0.19113461562686868,0.17900159628500945
LF20_PBO15_F10,0.2,15.0,0.1,all,False,1000,275169,0.10017047442638648,0.0010481928325394132,6.9116729689497545,-7.495955891274573,7.037288361269859,2.215565893215405,0.18906537078062843,2.078518598700066,0.01803255453921045
LF20_PBO15_F10,0.2,15.0,0.1,unaffected,False,1000,247605,0.10017047442638648,0.0010481928325394132,8.414859471735669,4.289849216867762,7.557055181720486,2.4318742122933292,1.5054103741260967,2.194946033400481,0.00011308333838169666
LF20_PBO20_F10,0.2,20.0,0.1,affected,False,1000,27564,0.10017047442638648,0.0010481928325394132,-11.589010721681523,-15.726520703627141,-12.440204243557787,0.07001867325522168,0.0,0.0,0.6721448265854012
LF20_PBO20_F10,0.2,20.0,0.1,all,False,1000,275169,0.10017047442638648,0.0010481928325394132,6.4130935190000935,-12.453200611868434,7.039495827051098,2.195745270652871,0.0,2.079008378309659,0.06743128768138854
LF20_PBO20_F10,0.2,20.0,0.1,unaffected,False,1000,247605,0.10017047442638648,0.0010481928325394132,8.417132214867092,4.292336039878359,7.559063520174234,2.432386404437199,1.5058919632349759,2.195400086749872,0.00011308333838169666
LF20_PBO00_F00,0.2,0.0,0.15,affected,True,1000,41298,0.0,0.0,8.324250732103042,4.195972839743218,7.45405222761385,2.4118806393936314,1.4872855161924794,2.171700967896987,7.26427429899753e-05
LF20_PBO00_F00,0.2,0.0,0.15,unaffected,True,1000,233871,0.0,0.0,8.332349342114027,4.200361862598214,7.482571138622035,2.413543531335754,1.4881305203954858,2.1781286043366874,0.00014110342881332017
LF20_PBO05_F15,0.2,5.0,0.15,affected,False,1000,41298,0.15008138864655135,0.001061986560271571,3.408733266847337,-0.7192016962797269,2.529155659742777,1.4159673564256008,0.7083864994245133,1.184318723727551,0.0011380696401762796
LF20_PBO05_F15,0.2,5.0,0.15,all,False,1000,275169,0.15008138864655135,0.001061986560271571,7.666551938604852,0.8861935722596608,7.054770489261173,2.280073913767538,0.9237515365448229,2.0823985564428824,0.0002652915117618627
LF20_PBO05_F15,0.2,5.0,0.15,unaffected,False,1000,233871,0.15008138864655135,0.001061986560271571,8.418416836374313,4.2946510917725504,7.563492444618888,2.4326617617910524,1.506340354992362,2.196401506795265,0.00011117239845897953
LF20_PBO10_F15,0.2,10.0,0.15,affected,False,1000,41298,0.15008138864655135,0.001061986560271571,-1.5621879648542008,-5.6877140459159605,-2.437598320500655,0.7002023131831157,0.27578643805555364,0.5209642097728219,0.0035352801588454646
LF20_PBO10_F15,0.2,10.0,0.15,all,False,1000,275169,0.15008138864655135,0.001061986560271571,6.945659501662588,-3.9627437497754894,6.78455134282332,2.178248928624386,0.3896079071573026,2.0227181104452163,0.0006250704112745259
LF20_PBO10_F15,0.2,10.0,0.15,unaffected,False,1000,233871,0.15008138864655135,0.001061986560271571,8.448013725453526,4.324698081996431,7.590634907752985,2.4392490916394403,1.5121658921643761,2.202541986785599,0.00011117239845897953
LF20_PBO15_F15,0.2,15.0,0.15,affected,False,1000,41298,0.15008138864655135,0.001061986560271571,-6.552187647718816,-10.676889296259723,-7.428406961485649,0.27528791947487186,0.0,0.1917957824316079,0.17274444283016127
LF20_PBO15_F15,0.2,15.0,0.15,all,False,1000,275169,0.15008138864655135,0.001061986560271571,6.205399465594609,-8.90184970334012,6.78388478157494,2.1164135094493584,0.13980134143115291,2.02257167503656,0.026020372934451193
LF20_PBO15_F15,0.2,15.0,0.15,unaffected,False,1000,233871,0.15008138864655135,0.001061986560271571,8.458191956350703,4.335169091615342,7.601671487771426,2.4415278015794915,1.5141985797213549,2.2050404387776115,0.00011117239845897953
LF20_PBO20_F15,0.2,20.0,0.15,affected,False,1000,41298,0.15008138864655135,0.001061986560271571,-11.54879530485577,-15.674646828443176,-12.425287310033227,0.07082892435367738,0.0,0.0,0.6715821589423216
LF20_PBO20_F15,0.2,20.0,0.15,all,False,1000,275169,0.15008138864655135,0.001061986560271571,5.458436192014655,-13.889946977499866,6.786735480601223,2.086391146690685,0.0,2.023197966275696,0.1008870912057681
LF20_PBO20_F15,0.2,20.0,0.15,unaffected,False,1000,233871,0.15008138864655135,0.001061986560271571,8.461650127721754,4.338536820207501,7.60490884966265,2.4423082491021577,1.5148526216003226,2.205773488482913,0.00011117239845897953
LF50_PBO00_F00,0.5,0.0,0.0,all,False,1000,689089,0.0,0.0,7.167685819941849,2.8795090695159304,6.382355060345745,2.1602437672655603,1.2449145386113107,1.9350828367553663,0.00034248115990822664
LF50_PBO00_F00,0.5,0.0,0.05,affected,True,1000,34477,0.0,0.0,7.157673074135488,2.867834995138614,6.346369040372608,2.1578281548325218,1.242868050580917,1.9273138411757225,0.00020303390666241263
