scenario_id,load_factor,pbo_db,affected_fraction,group,metric,estimate,ci95_lower,ci95_upper,repetitions,seed,analysis_type
LF20_PBO05_F15,0.2,5.0,0.15,all,spectral_efficiency_mean_bpshz,-0.13322004689918776,-0.13434243970692747,-0.13199686677915895,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F15,0.2,5.0,0.15,all,spectral_efficiency_p5_bpshz,-0.5641759110477432,-0.572675586330125,-0.5562758835734869,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F15,0.2,5.0,0.15,unaffected,outage_probability,-2.9931030354340645e-05,-6.415571205734683e-05,-4.277761011399829e-06,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F15,0.2,5.0,0.15,unaffected,sinr_mean_db,0.08606749426028593,0.0803098545022772,0.09217606644002241,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F15,0.2,5.0,0.15,unaffected,sinr_p5_db,0.09428922917433624,0.0863990364828636,0.10246262266485019,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F15,0.2,5.0,0.15,unaffected,spectral_efficiency_mean_bpshz,0.01911823045529859,0.01797843872929601,0.020336651391996974,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F15,0.2,5.0,0.15,unaffected,spectral_efficiency_p5_bpshz,0.018209834596876195,0.016695055434693275,0.019778513632666504,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F15,0.2,10.0,0.15,affected,outage_probability,0.003462637415855489,0.002437754315598197,0.00465485666729295,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F15,0.2,10.0,0.15,affected,sinr_mean_db,-9.886438696957242,-9.895091573903704,-9.877001503063294,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F15,0.2,10.0,0.15,affected,sinr_p5_db,-9.883686885659179,-9.894148020271352,-9.869677183742136,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F15,0.2,10.0,0.15,affected,spectral_efficiency_mean_bpshz,-1.7116783262105157,-1.7166024041588452,-1.7065710914674797,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F15,0.2,10.0,0.15,affected,spectral_efficiency_p5_bpshz,-1.2114990781369257,-1.2160754857826666,-1.205533404118719,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F15,0.2,10.0,0.15,all,outage_probability,0.0004942417205426484,0.0003347260901169477,0.000675070631189634,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F15,0.2,10.0,0.15,all,sinr_mean_db,-1.3854743823284874,-1.3939429297470114,-1.3762020563842678,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F15,0.2,10.0,0.15,all,sinr_p5_db,-8.16205094674321,-8.209624001470111,-8.116954627441546,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F15,0.2,10.0,0.15,all,spectral_efficiency_mean_bpshz,-0.23504503204233984,-0.23671629695222074,-0.23323252928187974,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F15,0.2,10.0,0.15,all,spectral_efficiency_p5_bpshz,-1.0983195404352635,-1.103995248725272,-1.0922487263268725,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F15,0.2,10.0,0.15,unaffected,outage_probability,-2.9931030354340645e-05,-6.415571205734683e-05,-4.277761011399829e-06,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F15,0.2,10.0,0.15,unaffected,sinr_mean_db,0.11566438333949947,0.10712178426179357,0.12504115565029641,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F15,0.2,10.0,0.15,unaffected,sinr_p5_db,0.12433621939821649,0.11435658546828656,0.13620218997774444,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F15,0.2,10.0,0.15,unaffected,spectral_efficiency_mean_bpshz,0.025705560303686426,0.02401551051002949,0.02750225796247069,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F15,0.2,10.0,0.15,unaffected,spectral_efficiency_p5_bpshz,0.024035371768890368,0.022123279402191998,0.02632304530315761,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F15,0.2,15.0,0.15,affected,outage_probability,0.17267180008717128,0.16702696145405044,0.17892346659851788,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F15,0.2,15.0,0.15,affected,sinr_mean_db,-14.87643837982186,-14.88644775688308,-14.865285127287976,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F15,0.2,15.0,0.15,affected,sinr_p5_db,-14.872862136002942,-14.885164624590525,-14.859069904578215,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F15,0.2,15.0,0.15,affected,spectral_efficiency_mean_bpshz,-2.1365927199187595,-2.1435698463088317,-2.1293041276626896,2000,838,paired_delta_pbo_minus_baseline
